Idade,Formação,Tempo_Escola,Tempo_profissão,Hrs_semanais,Supervisiona,Licença_2semanas,Licença_ano,MPS,IPPS,IOPS,ISP,CAFC,VSP,ARE,DED,ARS,AED,Engagement,Exaustao,Cinismo,SCV,Saude,TAMesc,Burnout_E
43.0,2.0,12.0,21.0,20.0,1.0,1.0,1.0,6.08,6.33,6.0,5.5,6.5,5.33,4.0,3.6,3.8,4.2,5.56,1.4,0.0,5.2,4.0,5.269999999999998,False
37.0,2.0,10.0,16.0,40.0,2.0,1.0,1.0,6.0,6.0,4.67,6.0,6.0,6.0,3.6,2.5,3.6,3.8,5.67,1.8,1.0,5.4,3.25,5.269999999999998,False
51.0,2.0,15.0,26.0,40.0,1.0,1.0,1.0,5.75,5.0,4.33,4.83,5.0,5.0,3.2,4.0,3.0,3.6,5.0,3.0,1.0,6.0,3.25,5.269999999999998,False
35.0,2.0,16.0,16.0,40.0,1.0,1.0,2.0,6.83,6.67,4.0,5.33,6.5,5.0,3.4,3.4,4.0,3.6,5.56,0.4,0.0,6.8,5.0,5.269999999999998,False
38.5,6.0,3.0,14.0,40.0,1.0,1.0,1.0,5.92,5.0,5.0,4.83,5.0,5.0,4.0,3.0,3.6,3.8,5.22,2.0,0.6,4.4,3.5,5.269999999999998,False
44.0,2.0,14.0,18.0,40.0,1.0,1.0,1.0,7.0,5.0,4.0,6.83,7.0,6.0,5.0,1.2,4.4,4.6,5.67,1.2,0.0,6.2,5.0,5.269999999999998,False
37.0,1.0,6.0,19.0,40.0,1.0,1.0,1.0,7.0,5.33,5.0,5.83,6.0,5.33,4.0,4.0,2.2,2.8,5.44,1.0,0.0,3.6,5.0,5.269999999999998,False
33.0,1.0,5.0,11.0,40.0,2.0,1.0,1.0,6.92,6.67,6.67,6.33,7.0,6.0,4.2,3.2,4.8,4.2,5.44,1.8,0.0,5.4,3.75,5.269999999999998,False
36.0,2.0,5.0,15.0,20.0,1.0,1.0,1.0,6.0,5.67,5.67,6.0,5.5,5.67,4.6,3.0,2.8,3.8,5.0,1.8,1.8,5.6,3.5,5.269999999999998,False
50.0,2.0,16.0,23.0,20.0,1.0,1.0,2.0,6.92,5.33,5.0,7.0,6.5,6.67,5.0,2.6,2.0,4.8,5.11,5.2,2.4,4.2,4.0,5.269999999999998,True
47.0,2.0,16.0,31.0,40.0,2.0,1.0,1.0,6.5,7.0,6.0,6.0,6.0,5.33,4.6,2.4,3.0,4.2,5.22,1.6,1.6,3.4,2.5,5.269999999999998,False
31.0,1.0,2.0,9.0,40.0,2.0,1.0,1.0,7.0,6.33,7.0,6.0,7.0,5.0,4.6,4.2,4.6,4.6,5.89,0.4,0.0,6.4,5.0,5.269999999999998,False
44.0,1.0,4.0,23.0,20.0,1.0,1.0,1.0,7.0,5.67,5.0,6.0,6.5,5.33,4.4,3.4,3.0,4.0,5.0,2.25,0.0,5.6,3.75,5.269999999999998,False
47.0,1.0,15.0,21.0,16.0,1.0,1.0,1.0,5.83,5.33,6.33,5.17,5.5,5.0,3.0,3.0,2.2,2.2,5.0,5.0,4.0,5.2,3.5,5.269999999999998,True
44.0,2.0,6.0,21.0,17.0,1.0,1.0,1.0,5.5,5.0,6.0,5.5,6.0,6.0,4.2,3.0,3.8,3.8,5.78,4.0,0.0,6.0,2.75,5.269999999999998,True
48.0,2.0,14.0,23.0,20.0,1.0,1.0,1.0,6.67,6.67,4.67,5.0,6.0,3.33,3.8,2.0,2.0,3.8,3.11,5.2,1.4,4.2,2.0,5.269999999999998,True
42.0,2.0,11.0,15.0,40.0,1.0,1.0,1.0,5.08,6.0,6.0,5.83,5.0,5.67,4.2,4.0,3.6,3.4,5.0,5.0,3.4,6.2,4.0,5.269999999999998,True
47.0,2.0,28.0,28.0,40.0,1.0,1.0,1.0,6.75,6.67,6.67,6.0,6.5,6.0,4.0,2.8,2.8,3.4,5.44,1.6,0.2,6.0,4.5,5.269999999999998,False
59.0,2.0,5.0,33.0,16.0,1.0,1.0,1.0,5.92,5.0,5.33,5.67,6.5,5.33,4.2,3.4,3.4,3.0,5.56,1.4,0.4,6.2,2.75,5.269999999999998,False
52.0,1.0,5.0,32.0,20.0,1.0,1.0,1.0,5.58,5.67,5.33,5.17,6.0,5.67,4.4,3.0,1.8,2.4,5.44,1.2,0.6,7.0,4.75,5.269999999999998,False
32.0,2.0,2.0,14.0,20.0,1.0,1.0,1.0,6.67,6.67,5.0,6.17,6.0,5.67,4.8,3.6,3.0,4.0,5.44,1.6,1.2,5.4,4.0,5.269999999999998,False
41.0,2.0,7.5,18.0,20.0,1.0,1.0,1.0,6.0,5.33,5.67,5.33,6.0,5.33,3.8,3.6,3.0,4.0,5.56,0.2,0.2,6.8,4.0,5.269999999999998,False
37.0,1.0,8.0,10.0,20.0,1.0,1.0,1.0,5.75,5.33,5.33,5.33,5.5,5.67,4.0,3.6,1.8,2.6,5.11,3.0,0.4,5.6,4.25,5.269999999999998,False
35.0,2.0,8.0,14.0,44.0,1.0,1.0,1.0,6.0,5.33,5.0,5.67,6.0,5.0,3.8,2.0,3.2,3.4,5.67,3.2,1.6,5.8,4.0,5.269999999999998,False
51.0,1.0,15.0,28.0,40.0,2.0,1.0,1.0,6.92,7.0,7.0,7.0,7.0,7.0,5.0,3.6,5.0,5.0,6.0,0.4,0.0,6.2,4.0,5.269999999999998,False
33.0,2.0,0.6,14.0,20.0,1.0,1.0,1.0,6.42,6.33,5.67,6.0,6.0,6.0,4.4,2.6,3.2,4.6,5.44,5.2,1.2,4.4,3.0,5.269999999999998,True
53.0,2.0,6.0,27.0,20.0,1.0,1.0,1.0,6.25,6.67,5.67,5.83,6.0,5.67,4.2,3.4,3.6,3.4,5.11,3.6,1.2,5.2,2.75,5.269999999999998,True
46.0,1.0,16.0,24.0,20.0,1.0,1.0,2.0,7.0,6.33,3.67,6.0,6.0,3.0,3.8,3.4,2.0,4.4,4.0,3.0,3.2,4.6,2.0,5.269999999999998,False
49.0,2.0,16.0,24.0,40.0,1.0,1.0,1.0,6.33,5.33,4.0,3.83,6.0,4.0,4.2,3.0,2.4,3.2,5.56,4.6,0.2,5.4,3.0,5.269999999999998,True
42.0,2.0,16.0,16.0,8.0,2.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,6.67,5.0,2.4,4.8,4.8,6.0,0.6,0.2,5.8,4.25,5.269999999999998,False
26.0,2.0,0.5,4.0,20.0,1.0,1.0,1.0,6.92,7.0,6.33,6.0,7.0,5.67,3.4,1.8,3.2,3.8,5.44,4.4,0.6,4.8,3.5,1.7560000000000002,True
22.0,5.0,0.5,5.0,40.0,2.0,1.0,1.0,6.73,7.0,6.33,7.0,7.0,7.0,4.2,1.4,4.8,4.8,5.89,1.8,1.0,5.4,5.0,1.877,False
45.7,1.0,0.5,24.0,20.0,1.0,1.0,1.0,6.83,6.67,6.0,6.17,6.0,5.33,4.4,3.0,3.8,3.8,5.89,1.8,0.2,4.4,4.25,2.6730000000000005,False
34.0,2.0,0.5,16.0,20.0,1.0,1.0,1.0,6.75,6.0,5.67,7.0,7.0,6.33,4.2,2.6,3.4,4.0,5.11,1.6,0.0,6.0,4.75,2.319,False
84.0,1.0,7.659999999999999,10.0,35.8,2.0,1.0,1.0,6.75,5.33,3.0,5.67,7.0,5.0,4.6,3.6,4.4,4.0,6.0,1.8,0.0,7.0,5.0,3.337,False
39.0,1.0,5.0,5.0,40.0,2.0,1.0,1.0,5.83,7.0,4.5,5.33,6.5,4.0,4.6,2.4,4.4,5.0,6.0,1.8,0.0,5.4,3.0,2.958999999999999,False
49.0,2.0,26.0,31.0,40.0,1.0,1.0,2.0,7.0,7.0,5.33,6.17,6.5,6.0,4.4,3.5,3.25,4.0,4.89,4.2,0.2,5.2,3.5,3.946999999999999,True
51.0,1.0,18.0,26.9,20.0,1.0,1.0,1.0,6.67,7.0,6.0,6.17,7.0,6.0,4.6,3.8,3.8,4.0,5.56,2.0,0.6,3.8,2.5,4.429000000000001,False
52.0,2.0,20.0,26.0,20.0,1.0,1.0,1.0,5.92,5.67,4.67,5.17,6.5,5.33,3.8,3.4,2.4,2.2,5.11,2.2,2.2,4.8,2.25,4.416,False
40.0,2.0,14.0,15.0,40.0,2.0,1.0,1.0,7.0,5.0,6.0,5.67,6.0,6.0,4.8,1.4,2.2,3.2,6.0,0.6,0.0,4.6,3.75,4.246,False
41.0,2.0,17.0,24.0,20.0,1.0,1.0,1.0,6.92,6.0,6.33,5.33,6.5,6.0,4.4,2.8,1.6,3.0,5.11,2.4,0.8,5.4,4.25,4.378000000000002,False
40.0,6.0,8.0,9.0,20.0,1.1,1.0,2.0,7.0,7.0,7.0,6.0,6.0,5.0,4.6,3.8,3.2,3.6,5.25,3.0,0.2,5.0,4.0,4.903000000000001,False
45.0,6.0,15.0,23.0,40.0,2.0,1.0,1.0,6.92,6.67,6.0,6.5,7.0,7.0,4.8,4.4,4.4,4.8,5.22,1.4,1.4,6.0,4.25,4.03,False
48.0,5.0,10.0,33.0,21.7,1.3,2.0,2.0,6.67,6.33,6.33,6.17,6.5,6.0,4.0,4.0,3.0,2.6,5.44,3.0,1.2,6.2,3.25,2.805,False
40.0,3.0,11.0,17.0,20.0,1.0,1.0,2.0,6.17,3.33,5.33,4.5,4.5,5.0,4.0,3.6,2.8,3.0,3.22,3.8,3.6,3.8,3.5,3.866000000000001,True
29.0,2.0,4.0,5.0,40.0,1.0,1.0,2.0,7.0,7.0,6.33,6.67,6.0,6.33,4.2,4.2,4.2,4.2,5.44,4.4,1.2,3.6,3.0,5.536,True
45.0,1.0,11.0,25.0,25.0,1.0,1.0,2.0,5.33,4.33,4.33,5.17,5.5,5.33,4.4,3.0,2.6,2.6,5.44,2.0,0.4,4.2,3.25,4.257000000000001,False
51.0,2.0,15.0,31.0,24.6,2.0,1.0,2.0,6.58,5.67,4.67,5.33,6.5,5.33,4.8,2.4,2.0,4.8,4.78,2.4,0.2,5.4,2.25,2.900000000000001,False
35.0,2.0,3.0,15.0,40.0,2.0,1.0,1.0,7.0,7.0,7.0,6.5,4.0,6.0,4.4,2.2,3.8,4.8,5.78,1.6,0.2,7.0,4.25,3.636,False
33.0,3.0,7.0,7.0,20.0,2.0,1.0,1.0,7.0,6.33,6.33,5.0,4.0,5.0,4.4,2.6,3.4,4.0,4.89,3.4,1.4,5.8,3.75,1.86,True
42.0,3.0,6.8,10.0,50.0,1.0,1.0,1.0,6.0,4.0,2.0,5.83,5.5,6.0,4.6,3.0,2.2,2.2,5.89,1.2,0.4,6.8,4.25,1.86,False
37.0,3.0,7.0,14.0,20.0,2.0,1.0,1.0,6.75,7.0,6.67,5.83,6.0,5.0,4.0,3.2,3.6,3.6,5.33,4.0,0.25,5.6,3.5,1.86,True
34.0,2.0,2.0,15.0,20.0,1.0,1.0,1.0,6.83,5.0,3.67,5.0,5.0,3.0,4.0,3.2,3.8,4.0,5.89,2.4,0.2,5.8,4.0,1.86,False
53.0,2.0,8.0,23.0,30.0,1.0,1.0,1.0,6.83,4.67,6.0,6.0,7.0,5.33,4.2,3.2,3.0,3.6,2.44,5.2,1.4,4.2,2.0,1.86,True
35.0,2.0,7.0,7.0,20.0,2.0,1.0,1.0,6.92,6.0,5.0,6.83,6.0,5.0,3.8,2.2,3.6,4.4,5.33,3.0,1.0,3.8,4.0,1.86,False
37.0,2.0,7.0,17.0,20.0,1.0,1.0,1.0,6.92,5.67,5.33,6.5,6.0,6.0,4.6,2.6,3.0,3.2,5.33,4.2,0.8,5.0,2.5,1.86,True
37.0,2.0,7.0,15.0,20.0,1.0,1.0,2.0,5.58,5.0,3.67,5.5,4.5,3.67,3.4,2.2,3.0,2.8,4.89,5.6,1.2,4.4,3.0,1.86,True
61.0,1.0,7.0,22.0,20.0,1.0,1.0,1.0,6.08,5.0,5.67,5.17,5.5,5.33,3.6,3.0,3.2,3.2,5.0,2.6,0.4,4.6,2.0,1.86,False
33.0,7.0,2.0,11.0,20.0,1.0,1.0,1.0,7.0,7.0,6.33,5.83,7.0,7.0,4.4,3.4,4.8,4.6,6.0,2.0,0.4,5.4,2.75,1.86,False
46.0,2.0,8.0,19.0,20.0,2.0,1.0,1.0,6.75,7.0,5.33,6.2,6.5,5.33,4.2,3.4,4.0,4.4,5.89,1.8,0.0,6.4,4.0,1.86,False
26.0,6.0,2.0,6.0,16.0,1.0,1.0,2.0,6.83,4.33,4.33,5.5,6.0,4.33,4.6,2.4,4.4,3.8,5.0,2.8,0.6,3.2,3.75,1.86,False
32.0,3.0,2.0,10.0,20.0,1.0,1.0,1.0,6.67,6.67,6.0,6.17,6.0,5.0,4.6,3.6,4.4,4.6,5.33,0.6,0.0,5.0,3.5,1.86,False
31.0,1.0,1.0,6.0,40.0,1.0,1.0,2.0,6.67,5.0,5.0,5.4,4.0,4.0,4.8,3.8,2.8,3.6,2.56,6.0,3.2,1.0,3.5,1.86,True
30.0,3.0,1.0,9.1,40.0,1.0,1.0,1.0,6.17,5.0,5.33,5.17,5.0,6.0,4.2,1.6,3.0,3.4,4.89,3.8,2.0,4.2,3.75,1.86,True
27.0,2.0,3.0,8.0,40.0,1.0,1.0,2.0,6.92,4.67,4.67,4.67,5.0,5.33,3.8,3.2,4.4,3.2,4.78,1.6,0.6,4.4,3.5,1.86,False
35.0,2.0,3.0,16.0,20.0,1.0,2.0,1.0,7.0,6.67,6.33,6.33,6.5,5.33,3.6,2.0,3.6,3.8,5.56,1.4,0.4,7.0,5.0,1.86,False
62.0,1.0,8.0,20.0,20.0,1.0,1.0,1.0,6.83,6.67,6.67,6.67,6.0,5.67,3.2,3.0,3.0,3.2,3.67,3.0,1.0,4.2,1.25,1.86,False
49.0,1.0,2.0,8.0,40.0,1.0,1.0,1.0,6.83,6.0,6.0,6.0,6.0,6.0,4.4,4.2,4.6,5.0,6.0,0.4,0.0,5.4,4.25,1.86,False
44.0,2.0,9.0,24.0,24.0,1.0,1.0,1.0,6.58,5.67,3.67,4.83,4.5,4.67,4.2,3.6,2.2,3.0,2.67,5.2,2.4,4.2,2.75,1.86,True
38.0,2.0,8.0,18.0,15.0,1.0,1.0,1.0,6.0,5.0,5.67,5.83,5.5,5.0,4.2,2.8,2.4,3.8,5.11,5.0,0.8,4.8,3.25,1.86,True
46.0,2.0,2.0,12.0,20.0,1.0,1.0,1.0,5.33,4.67,3.0,4.33,3.0,4.33,3.8,2.4,2.4,2.6,4.56,3.0,1.6,3.0,3.0,1.86,False
38.0,2.0,8.0,15.0,40.0,1.0,1.0,1.0,6.42,5.67,3.67,5.67,5.5,4.33,3.8,2.4,3.0,3.4,4.44,4.8,1.0,2.8,2.75,1.86,True
47.0,2.0,9.0,27.0,40.0,2.0,1.0,1.0,6.92,7.0,6.5,7.0,7.0,5.67,4.4,2.4,4.6,4.4,5.89,1.8,0.0,6.0,4.0,1.86,False
34.0,7.0,3.0,15.0,20.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,4.2,2.5,3.2,3.8,5.78,2.0,0.2,5.8,4.25,1.86,False
33.0,2.0,3.0,15.0,60.0,1.0,1.0,1.0,6.83,6.67,6.67,6.17,5.5,5.33,4.8,3.4,3.8,4.8,5.89,2.2,0.0,5.6,4.0,1.86,False
39.0,2.0,12.0,18.0,40.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,4.67,2.67,3.0,2.0,3.4,3.89,4.8,2.0,4.2,3.0,3.2299999999999995,True
40.0,6.0,20.0,20.0,40.0,1.0,1.0,1.0,6.0,5.67,5.33,5.33,5.0,5.0,4.0,3.2,2.4,2.8,5.33,3.25,0.6,5.6,3.75,3.2299999999999995,True
43.0,2.0,15.0,29.0,20.0,1.0,1.0,1.0,7.0,6.67,5.33,6.33,7.0,6.0,4.8,2.4,4.0,4.8,5.67,1.4,1.2,5.6,4.0,3.2299999999999995,False
33.0,2.0,8.0,12.0,20.0,1.0,1.0,1.0,6.67,6.67,3.0,6.5,7.0,4.33,4.4,1.6,3.0,4.4,5.44,2.0,0.6,6.0,4.75,3.2299999999999995,False
42.0,3.0,15.0,25.0,20.0,2.0,1.0,1.0,6.75,5.33,5.0,5.5,5.0,4.67,4.6,2.4,3.4,4.6,4.78,2.6,0.8,4.0,3.25,3.2299999999999995,False
52.0,2.0,25.0,25.0,30.0,2.0,1.0,1.0,5.25,3.33,4.33,5.25,6.0,2.67,3.6,3.8,1.6,3.2,4.78,0.8,0.8,4.6,3.5,3.2299999999999995,False
36.0,2.0,12.0,14.7,20.0,2.0,1.0,1.0,6.33,5.67,4.33,6.0,5.0,5.0,4.2,2.4,4.2,4.2,5.67,2.6,0.2,6.0,4.0,3.2299999999999995,False
50.0,2.0,16.0,16.0,40.0,2.0,1.0,1.0,7.0,5.67,5.0,6.67,6.0,6.67,4.8,1.8,3.4,4.8,6.0,0.2,0.0,6.75,4.67,3.2299999999999995,False
53.0,5.0,24.0,24.0,45.0,1.0,1.0,1.0,6.67,5.67,4.33,5.33,4.0,6.33,2.2,1.6,3.2,3.6,3.78,1.6,1.8,2.2,3.75,3.2299999999999995,False
49.0,2.0,16.0,30.0,40.0,1.0,1.0,1.0,6.25,5.67,5.67,6.0,6.0,6.0,3.8,1.0,3.6,3.8,6.0,2.0,0.0,5.8,4.0,3.2299999999999995,False
32.0,2.6,2.0,8.0,40.0,1.0,1.0,1.0,6.83,6.0,5.67,5.67,5.0,5.0,4.2,3.4,3.8,4.6,4.44,2.4,0.0,6.2,4.75,3.2299999999999995,False
44.1,1.0,13.0,13.0,30.0,1.0,1.0,1.0,6.58,5.0,5.0,5.67,5.5,5.33,4.8,4.25,2.75,3.2,5.56,3.6,0.0,5.8,4.0,3.2299999999999995,True
23.0,6.0,1.0,3.0,20.0,1.0,1.0,1.0,7.0,4.0,4.0,5.83,2.5,5.0,4.8,1.4,3.8,5.0,5.89,1.2,1.2,2.2,3.5,3.2299999999999995,False
44.0,5.0,15.0,20.0,20.0,2.0,1.0,2.0,7.0,7.0,3.67,6.67,6.5,6.33,4.6,3.8,4.2,4.4,5.22,3.8,2.2,6.0,4.25,3.2299999999999995,True
33.0,6.0,10.0,12.0,50.0,1.0,1.0,1.0,6.92,7.0,6.0,5.33,5.0,5.67,3.2,3.4,3.0,3.2,4.5,2.6,0.0,4.8,3.75,3.2299999999999995,False
49.0,2.0,22.0,22.0,40.0,2.0,1.0,1.0,7.0,7.0,6.67,6.67,6.0,6.0,4.6,4.4,4.2,4.4,6.0,3.2,0.0,6.2,3.0,3.2299999999999995,False
25.0,6.0,1.0,6.475,20.0,1.0,1.0,1.0,7.0,7.0,6.33,7.0,7.0,7.0,4.8,3.4,3.4,4.2,5.11,3.6,1.2,5.2,4.0,3.2299999999999995,True
58.0,2.0,14.0,30.0,10.0,2.0,1.0,1.0,7.0,6.0,4.0,7.0,7.0,7.0,5.0,2.6,2.6,5.0,5.56,2.2,0.0,7.0,5.0,3.2299999999999995,False
59.0,2.0,31.0,31.0,20.0,1.0,1.0,1.0,7.0,4.0,3.33,7.0,6.0,3.0,5.0,4.6,3.8,3.8,5.89,2.6,0.0,3.8,3.0,3.2299999999999995,False
64.0,1.8,20.0,45.0,20.0,1.0,1.0,1.0,7.0,6.67,6.33,6.17,7.0,6.33,5.0,2.0,3.6,4.4,5.89,0.6,0.2,6.2,4.75,3.2299999999999995,False
43.0,2.0,20.0,22.0,40.0,1.6,1.0,1.0,6.25,6.33,5.33,5.67,5.5,5.67,4.6,2.2,3.0,3.8,5.22,3.8,1.0,5.4,3.75,3.2299999999999995,True
48.0,2.0,15.0,16.0,40.0,2.0,1.0,1.0,7.0,6.67,6.67,6.0,6.5,7.0,5.0,2.8,3.8,4.8,5.89,0.2,0.0,6.8,4.75,3.2299999999999995,False
43.0,5.0,13.0,15.0,30.0,2.0,1.0,2.0,6.5,6.0,4.33,6.17,6.0,4.33,4.4,3.6,4.0,4.6,4.33,4.6,4.4,6.0,2.5,3.2299999999999995,True
32.0,1.0,9.0,10.0,32.0,1.0,1.0,1.0,7.0,7.0,5.67,6.0,5.0,4.67,3.4,3.2,2.25,2.6,3.44,2.2,0.4,2.4,4.25,3.2299999999999995,False
31.0,1.0,0.5,6.0,40.0,1.0,1.0,1.0,6.75,5.67,4.33,4.83,5.5,5.0,3.8,2.4,3.0,3.2,2.33,2.2,0.2,5.8,5.0,3.2299999999999995,False
51.0,0.0,28.0,28.0,60.0,1.0,1.0,1.0,6.5,4.67,4.0,5.67,5.5,6.33,3.6,2.0,1.6,3.25,4.56,5.4,4.4,1.6,3.5,3.2299999999999995,True
58.0,2.0,31.0,31.0,32.0,2.0,1.0,1.0,6.58,5.67,4.67,6.0,6.5,5.33,4.6,3.2,2.6,3.4,5.78,2.4,0.2,5.2,2.75,3.2299999999999995,False
35.0,2.0,11.0,15.0,20.0,2.0,1.0,1.0,6.75,7.0,6.0,6.83,4.5,5.33,4.4,1.8,3.4,4.4,5.33,4.4,0.6,5.8,4.25,3.2299999999999995,True
33.0,2.0,8.0,15.0,40.0,1.0,1.0,1.0,6.17,5.33,2.33,7.0,5.5,7.0,4.4,3.4,3.4,4.4,5.89,2.2,1.2,3.0,3.0,3.2299999999999995,False
63.0,2.0,15.0,40.0,16.0,1.0,1.0,1.0,6.92,6.33,4.0,5.0,6.5,6.0,5.0,2.4,3.2,4.0,5.89,0.6,0.2,6.2,3.75,3.2299999999999995,False
46.3,2.0,21.0,21.0,40.0,2.0,1.0,1.0,5.5,5.33,5.67,5.17,6.5,2.33,3.0,4.6,1.6,2.8,5.44,1.8,1.6,4.8,2.75,3.2299999999999995,False
24.0,6.0,0.3,1.0,20.0,1.0,1.0,1.0,7.0,6.0,6.0,6.0,7.0,6.0,4.6,4.2,3.0,4.2,5.44,3.0,1.4,5.6,4.5,3.2299999999999995,False
48.0,2.0,16.0,28.0,40.0,1.0,1.0,1.0,6.75,5.67,6.0,6.0,5.0,6.0,4.4,1.2,4.2,3.8,5.33,2.0,0.0,5.6,4.0,3.2299999999999995,False
39.0,1.0,19.0,19.0,40.0,1.0,1.0,1.0,5.92,5.67,4.67,5.33,5.0,6.0,4.0,3.2,2.6,3.2,2.0,3.0,1.0,5.0,3.75,3.2299999999999995,False
55.0,4.0,25.0,30.0,40.0,1.0,1.0,1.0,6.0,6.33,4.33,6.67,7.0,6.33,4.4,3.0,2.8,3.6,5.56,2.2,1.0,2.6,3.0,3.2299999999999995,False
32.0,2.0,7.0,11.0,20.0,1.0,1.0,1.0,6.67,7.0,6.0,6.5,7.0,6.0,4.0,2.0,3.6,3.4,5.89,4.6,0.4,5.2,3.5,3.2299999999999995,True
44.0,2.0,15.0,29.0,40.0,2.0,1.0,1.0,6.58,6.67,5.0,6.33,6.0,6.0,3.6,2.0,1.6,3.25,5.0,1.2,0.2,5.2,3.25,3.2299999999999995,False
57.0,2.0,13.0,25.0,16.0,1.5,1.0,1.0,6.92,6.0,3.0,6.17,7.0,5.67,5.0,3.6,3.6,5.0,5.56,1.0,1.4,6.8,5.25,3.2299999999999995,False
48.0,2.0,21.0,21.0,40.0,2.0,1.0,1.0,7.0,5.67,6.33,5.5,6.0,5.67,4.8,3.0,3.4,4.2,5.67,3.0,0.2,5.8,3.75,3.2299999999999995,False
27.0,1.0,4.0,9.0,20.0,1.0,1.0,1.0,6.58,5.67,5.33,7.0,5.5,5.33,4.0,2.6,3.8,4.0,4.89,2.8,1.2,5.6,4.0,5.14,False
54.0,2.0,2.0,21.9,40.0,1.0,1.0,1.0,6.58,6.0,5.33,6.17,6.5,6.33,5.0,2.6,2.75,4.6,5.78,3.6,0.0,3.6,3.25,5.14,True
35.0,2.0,2.0,10.0,60.0,1.0,1.0,1.0,5.58,4.33,3.67,5.83,4.0,5.67,3.8,3.0,3.8,3.6,6.0,1.6,1.0,6.4,3.75,5.14,False
40.0,1.0,19.0,19.0,40.0,2.0,1.0,1.0,1.83,2.33,2.0,3.0,5.5,5.0,4.2,3.6,3.6,4.0,5.56,3.8,5.2,4.8,5.0,5.14,True
43.0,2.0,9.5,17.0,40.0,1.0,1.0,1.0,6.17,6.0,6.0,5.83,6.0,6.0,4.2,2.5,3.4,4.0,6.0,1.2,0.0,6.0,4.0,5.14,False
39.0,2.3,3.0,17.0,40.0,1.0,1.0,1.0,7.0,6.0,4.67,7.0,7.0,7.0,4.6,3.67,4.4,4.2,5.78,1.8,1.0,6.8,4.25,5.14,False
49.0,2.0,15.0,22.0,40.0,2.0,1.0,1.0,5.83,3.33,4.33,4.0,5.0,4.0,4.2,3.0,3.6,4.0,5.33,2.2,0.4,2.8,4.0,5.14,False
33.0,2.0,4.0,6.0,20.0,1.0,1.0,2.0,6.0,6.0,5.33,6.0,4.0,6.0,3.8,2.8,2.8,3.2,5.22,5.0,1.6,5.2,4.5,5.14,True
56.0,1.9,20.0,26.0,20.0,1.0,1.0,2.0,6.08,7.0,6.0,6.67,6.0,5.0,4.6,4.2,3.6,4.6,5.33,4.4,0.2,5.4,2.0,5.14,True
43.0,2.0,4.0,11.0,40.0,1.0,1.0,1.0,6.08,6.33,1.0,5.6,7.0,3.0,4.2,2.0,2.6,2.8,4.89,3.2,0.0,5.25,2.75,5.14,False
35.0,5.0,15.0,18.0,20.0,1.0,1.0,1.1,6.08,6.0,4.0,5.4,6.0,5.0,3.4,2.4,3.2,3.2,5.0,3.2,1.2,5.8,3.0,5.14,False
